"CLO_CID_CUST_ID","CLO_CDE_PRFL_TYPE","CLO_CDE_LOCATION","CLO_RID_LOCATION","CLO_XID_TAXPAYER","CLO_CDE_TAX_EXEMP","CLO_DTE_FST_TRAN","CLO_DTE_LST_TRAN","CLO_IND_BRKFND_AGR","CLO_IND_WTCHFL_ACT","CLO_TSP_REC_CREATE","CLO_TSP_REC_UPDATE","CLO_UID_REC_CREATE","CLO_UID_REC_UPDATE","CLO_AMT_UNFN_RISK","CLO_CDE_UNFN_CCY","CLO_DTE_RISK_EXP","CLO_DTE_UNF_LST_AP","CLO_IND_UNFN_RISK","CLO_NUM_RISK_FREQ","CLO_RID_PROFILE","CLO_AMT_UNFN_USED","CLO_IND_COMPLETE","CLO_IND_QUAL_BUYER","CLO_CDE_LANGUAGE","CLO_IND_VAT_SUBJCT","CLO_TXT_VAT_NUMBER","CLO_TXT_LEND_RSSD","CLO_IND_AFFI_LEND","CLO_IND_FPML_ENB","CLO_CDE_BRANCH"
"A4E8XOXX","BORR ","MEL  ","A4E8XPCN","","","","","","","2020-04-20 03:31:41","2020-04-20 03:35:44","APP1MANS","APP1MANS","","","","","","","A4E8XP9W","","Y","","","N","               ","","","",""
"!!E8YNWL","BORR ","MEL  ","!4E8ZGU9","","","","","","","2020-04-21 01:24:54","2020-04-21 01:29:17","FJUSR01 ","FJUSR01 ","","","","","","","!4E8ZGU4","","Y","","","N","               ","","","",""
"!DE93K99","BORR ","MEL  ","!DE93NXH","","","","","","N","2020-04-23 08:47:08","2020-04-23 09:32:35","APP1MANS","APP1MANS","","","","","","","!DE93NQT","","Y","","","N","               ","","","",""
"P=E6K597","BORR ","MEL  ","J*E6SOO7","","","2020-04-23 00:00:00","2021-11-08 00:00:00","","N","2020-03-09 12:08:27","2020-04-27 18:12:09","JCUSR01 ","RPTINP01","","","","","","","J*E6SOO2","","Y","","","Y","10075843210    ","","","",""
"AVE8YAJT","BORR ","MEL  ","AVE8YAYV","","","2020-04-24 00:00:00","2020-04-24 00:00:00","","","2020-04-20 11:18:36","2020-04-20 12:09:29","FJUSR01 ","FJUSR01 ","","","","","","","AVE8YAVW","","Y","","","N","               ","","","",""
"J5E4FAXX","BORR ","ABB  ","J5E4FAY7","","","2020-01-29 00:00:00","2021-12-09 00:00:00","","","2020-01-23 09:30:21","2020-01-23 09:45:07","HSSUPR01","HSSUPR01","","","","","","","J5E4FAY4","","Y","","","Y","               ","","","",""
"J5E4FAZF","BORR ","ABB  ","J5E4FAZP","","","2020-01-29 00:00:00","2021-11-08 00:00:00","","N","2020-01-23 09:46:00","2020-01-23 09:56:14","HSSUPR01","HSUSER01","","","","","","","J5E4FAZM","","Y","","","Y","               ","","","",""
"3FE4FBRS","BORR ","ABB  ","3FE4FBS2","","","2020-01-29 00:00:00","2021-11-08 00:00:00","","N","2020-01-23 09:57:11","2020-01-23 10:00:16","HSUSER01","HSUSER01","","","","","","","3FE4FBRZ","","Y","","","Y","               ","","","",""
"FPE4MRNP","INVR ","MEL  ","FPE4MRO0","","","2020-01-29 00:00:00","2021-12-09 00:00:00","N","N","2020-01-27 10:34:21","2020-01-28 15:25:48","MGALING ","WBAYERS ","0","","","","N","0","FPE4MRNW","0","Y","Y","","Y","123123124      ","","Y","N",""
"E2E4RAUV","INVR ","AM   ","@ME4QUQO","","","2013-04-01 00:00:00","2021-10-15 00:00:00","N","N","2020-01-30 06:21:52","2020-02-04 04:20:15","BRIANMOK","BRIANMOK","0","","","","N","0","@ME4QUQK","0","Y","Y","","N","               ","","Y","N",""
"?ZE4CIA6","BORR ","MEL  ","?ZE4CIAG","","","2013-04-02 00:00:00","2021-12-09 00:00:00","","N","2020-01-22 11:49:54","2020-01-22 14:18:09","RPTINP01","RPTINP01","","","","","","","?ZE4CIAD","","Y","","","Y","               ","","","",""
"AMDPAOVM","INVR ","SYD  ","AMDPAOVZ","","","2011-12-19 00:00:00","2021-12-09 00:00:00","N","N","2019-04-04 15:50:05","2019-04-04 16:03:48","KANDERSO","KANDERSO","0","","","","N","0","AMDPAOVV","0","Y","Y","","Y","               ","","Y","N",""
"A$DPARLG","INVR ","SYD  ","A$DPARLR","","","2011-12-19 00:00:00","2020-10-13 00:00:00","N","N","2019-04-04 16:23:53","2019-04-04 16:24:58","KANDERSO","KANDERSO","0","","","","N","0","A$DPARLN","0","Y","Y","","Y","               ","","Y","N",""
"(KE4Q19S","INVR ","SYD  ","(KE4Q1AG","","04   ","2020-01-29 00:00:00","2021-12-09 00:00:00","Y","N","2020-01-29 04:55:32","2020-01-29 04:58:41","WBAYERS ","WBAYERS ","0","","","","N","0","(KE4Q1A4","0","Y","Y","","Y","               ","","Y","N",""
"A4E8XOGV","BORR ","MEL  ","A4E8XOH9","","","","","","","2020-04-20 02:30:15","2020-04-20 02:51:33","APP1MANS","APP1MANS","","","","","","","A4E8XOH4","","Y","","","N","               ","","","",""
"AME8XY0R","BORR ","MEL  ","AME8XY15","","","","","","","2020-04-20 05:39:13","2020-04-20 05:43:06","APP1MANS","APP1MANS","","","","","","","AME8XY10","","Y","","","N","               ","","","",""
"A7E8Y5AF","BORR ","MEL  ","A7E8Y5AT","","","","","","","2020-04-20 09:07:41","2020-04-20 09:11:36","APP1MANS","APP1MANS","","","","","","","A7E8Y5AO","","Y","","","N","               ","","","",""
"VWEDOEXK","BORR ","SYD  ","GEEDOQ8T","","","","","","","2020-07-21 18:51:15","2020-07-21 18:53:03","DJRHINPT","DJRHINPT","","","","","","","GEEDOPRX","","Y","","","N","               ","","","",""
"VWEDOEXK","BORR ","MEL  ","GEEDOPS0","","","2020-06-01 00:00:00","2020-06-01 00:00:00","","","2020-07-21 18:45:21","2020-07-21 18:47:14","DJRHINPT","DJRHINPT","","","","","","","GEEDOPRX","","Y","","","N","               ","","","",""
"V-EF4H31","BORR ","SYD  ","GZEF47W6","","","2020-09-09 00:00:00","2020-09-09 00:00:00","","","2020-08-18 15:21:41","2020-08-18 15:23:14","WBAYERS ","WBAYERS ","","","","","","","GZEF47VT","","Y","","","N","10075843210    ","","","",""
"V+EF49HF","BORR ","SYD  ","V+EF49O8","","","","","","N","2020-08-18 16:00:07","2020-08-18 18:20:29","ALNINP01","ALNMGR01","","","","","","","V+EF49MY","","Y","","","Y","7113133830     ","","","",""
"*#EF4PTL","BORR ","SYD  ","*#EF4PUJ","","","","","","","2020-08-18 20:16:57","2020-08-18 20:18:38","WBAYERS ","WBAYERS ","","","","","","","*#EF4PUG","","Y","","","N","               ","","","",""
"YPEFEVVD","BORR ","SYD  ","YEEFEXS3","","","","","","","2020-08-24 09:20:35","2020-08-24 09:22:15","INPALN01","INPALN01","","","","","","","YEEFEXS0","","Y","","","N","55333434       ","","","",""
")3EF892G","BORR ","SYD  ","EZEF8E3T","","","","","","","2020-08-20 20:08:35","2020-08-20 20:10:30","INPRON01","INPRON01","","","","","","","EZEF8E3Q","","Y","","","N","14162984821    ","","","",""
"Y3EFEZQB","BORR ","SYD  ","Y3EFEZQT","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-24 10:21:50","2020-08-24 10:23:57","INPALN01","INPALN01","","","","","","","Y3EFEZQQ","","Y","","","N","33884999383    ","","","",""
"Y@EFF0L8","INVR ","SYD  ","Y@EFF0LK","","","2020-05-27 00:00:00","2020-10-15 00:00:00","N","N","2020-08-24 10:26:52","2020-08-25 15:02:47","CMARTILL","CMARTILL","0","","","","N","0","Y@EFF0LF","0","Y","Y","","Y","               ","","Y","N",""
"@*EFH8X0","BORR ","SYD  ","@*EFH8XC","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-25 15:01:01","2020-08-25 15:02:49","INPALN01","INPALN01","","","","","","","@*EFH8X9","","Y","","","N","               ","","","",""
"@MEFH6VL","BORR ","SYD  ","@MEFH7CH","","","2020-09-11 00:00:00","2020-09-11 00:00:00","","N","2020-08-25 15:40:24","2020-08-25 17:14:12","INPDEL01","INPDEL01","","","","","","","@MEFH780","","Y","","","Y","02568049389    ","","","",""
"CAEFH7KI","BORR ","SYD  ","CAEFH7VR","                         ","","2020-10-15 00:00:00","2020-10-15 00:00:00","","N","2020-08-25 15:54:20","2020-08-25 17:53:03","INPROS01","SUPROS01","","","","","","","CAEFH7S0","","Y","","","Y","               ","","","",""
"=UEFJ4X5","BORR ","SYD  ","=UEFJ4XH","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-26 15:33:23","2020-08-26 15:35:03","INPALN01","INPALN01","","","","","","","=UEFJ4XE","","Y","","","N","343423233      ","","","",""
"CTEFHBUM","BORR ","SYD  ","CTEFHBUY","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-25 16:02:39","2020-08-25 16:04:34","INPALN01","INPALN01","","","","","","","CTEFHBUV","","Y","","","N","3434234324     ","","","",""
"1KEFIX0F","BORR ","SYD  ","1)EFIXES","","","","","","","2020-08-26 12:55:02","2020-08-26 12:56:55","INPALN01","INPALN01","","","","","","","1)EFIXEP","","Y","","","N","459948844      ","","","",""
"?NEFKRY6","BORR ","SYD  ","?NEFKSDK","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-27 14:06:44","2020-08-27 14:09:37","INPALN01","INPALN01","","","","","","","?NEFKSCP","","Y","","","N","354354545      ","","","",""
"N?EFL3EX","BORR ","SYD  ","XZEFL4J5","","","","","","","2020-08-27 18:21:02","2020-08-27 18:22:34","INPAMT01","INPAMT01","","","","","","","XZEFL4J2","","Y","","","N","02568049389    ","","","",""
"5VEH8D99","BORR ","MEL  ","50EH8DLV","","","","","","","2020-09-28 17:01:46","2020-09-28 17:03:47","MIGGY_IN","MIGGY_IN","","","","","","","50EH8DLS","","Y","","","N","               ","","","",""
".*EHE1SI","BORR ","MEL  ","TAEHE257","","","2021-01-14 00:00:00","2021-01-14 00:00:00","","","2020-10-01 18:51:31","2020-10-01 18:53:40","MIGGY_IN","MIGGY_IN","","","","","","","TAEHE254","","Y","","","N","               ","","","",""
";(EHLBAR","BORR ","NDL  ","N1EHN7FP","","","","","","","2020-10-06 17:35:10","2020-10-06 17:37:25","ARFELI01","ARFELI01","","","","","","","N1EHN7FM","","Y","","","Y","               ","","","",""
"N=EHN4XA","BORR ","MEL  ","NSEHN59X","","","2021-01-21 00:00:00","2021-01-21 00:00:00","","","2020-10-06 17:47:03","2020-10-06 17:49:03","MIGGY_IN","MIGGY_IN","","","","","","","NSEHN59U","","Y","","","N","               ","","","",""
"$$EHSFB1","BORR ","NDL  ","FQEHSIRD","","","","","","","2020-10-09 15:27:59","2020-10-09 15:29:42","ARFELI01","ARFELI01","","","","","","","FQEHSIRA","","Y","","","Y","               ","","","",""
"G#EHBNN9","BORR ","MEL  ","V(EHPIY8","","","","","","","2020-10-08 00:41:01","2020-10-08 00:43:13","MIGGY_IN","MIGGY_IN","","","","","","","V(EHPIY5","","Y","","","N","10075843210    ","","","",""
"$$EHP6SW","BORR ","MEL  ","A@EHQNGC","","","2021-01-28 00:00:00","2021-01-28 00:00:00","","","2020-10-08 15:16:09","2020-10-08 15:18:13","MIGGY_IN","MIGGY_IN","","","","","","","A@EHQNG9","","Y","","","N","10075843210    ","","","",""
"Z6EIA38Z","BORR ","MEL  ","ZMEIA3HR","","","2021-04-16 00:00:00","2021-04-16 00:00:00","","","2020-10-19 02:06:16","2020-10-19 02:07:44","DANUSR01","DANUSR01","","","","","","","ZMEIA3HO","","Y","","","N","               ","","","",""
"$$EHSIFX","BORR ","MEL  ","Z8EHSLA0","","","2021-01-28 00:00:00","2021-01-28 00:00:00","","","2020-10-09 16:26:34","2020-10-09 16:28:44","MIGGY_IN","MIGGY_IN","","","","","","","Z8EHSL9O","","Y","","","N","10075843210    ","","","",""
"M;EIEID2","BORR ","MEL  ","MREIEIPQ","","","","","","","2020-10-21 11:04:58","2020-10-21 11:07:20","MIGGY_IN","MIGGY_IN","","","","","","","MREIEIPN","","Y","","","N","               ","","","",""
"MWEIEJAO","BORR ","MEL  ","M1EIEJNC","","","2021-04-29 00:00:00","2021-04-29 00:00:00","","","2020-10-21 11:26:55","2020-10-21 11:29:09","MIGGY_IN","MIGGY_IN","","","","","","","M1EIEJN9","","Y","","","N","               ","","","",""
"M*EIEN7I","BORR ","MEL  ","WAEIENK6","","","","","","","2020-10-21 13:09:41","2020-10-21 13:11:53","INPAMT01","INPAMT01","","","","","","","WAEIENK3","","Y","","","N","               ","","","",""
":REIIK9J","BORR ","MEL  ","Q;EIIUNA","","","","","","","2020-10-23 19:45:39","2020-10-23 19:48:12","INPALN01","INPALN01","","","","","","","Q;EIIUN7","","Y","","","N","               ","","","",""
