"UPT_UID_USERID","UPT_NME_USER_LAST","UPT_NME_USER_FIRST","UPT_NME_USER_MI","UPT_XID_SOC_SEC","UPT_UID_USER_MGR","UPT_CDE_JOB_FUNC","UPT_CDE_TITLE","UPT_CDE_EXPENSE","UPT_CDE_BANK","UPT_CDE_BRANCH","UPT_CDE_PROFILE","UPT_ADR_MAIL_STOP","UPT_TSP_REC_CREATE","UPT_TSP_REC_UPDATE","UPT_UID_REC_CREATE","UPT_UID_REC_UPDATE","UPT_UID_TEMPLATE","UPT_IND_SLG","UPT_CDE_SALES_GRP","UPT_CDE_PROC_AREA","UPT_CDE_SALES_TEAM","UPT_IND_RSKBK_VALL","UPT_CDE_COUNTRY","UPT_RID_LOCATION","UPT_CDE_LANGUAGE","UPT_TXT_ALIAS","UPT_XID_EMAIL_ID","UPT_PHN_1_NUMBER","UPT_PHN_2_NUMBER","UPT_FAX_1_NUMBER","UPT_FAX_2_NUMBER","UPT_TXT_ADDRESS","UPT_TXT_FUNCTION"
"CRE07124","SEVONELNAME         ","SEVONEFNAME         "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-24 15:02:20","2020-07-24 15:02:20","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","CRE07118@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"CRE07125","SEVONELNAME         ","SEVONEFNAME         "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-24 15:56:41","2020-07-24 15:56:41","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","CRE07118@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"INPUTNCB","NBAUTISTA           ","INPUTTER            "," ","         ","","DAM  ","MD   ","","CBA  ","CB001","U    ","","2020-09-15 12:15:23","2020-09-15 12:15:23","ADMIN1  ","ADMIN1  ","Custom  ","N","","AUSAG","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22220202222 222 222222 02  21220222 22 222222222 222 2222            2   222 2022222222222 222 2     2222200000000000000022111 2 2221222222222222222222  2112122222222222202 222222222222222222202222 222222222222222222 2222222222222221220022 22022222 22222222022022020200022   02 2   22202222221222000200022222200222222222022 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 000000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002200202 00000000  220222222200222022 022 0200000000000  022200000220 220002 0000002222  002    0020          02 2 222     22 2220 20022  222  0    22222222 022 22 202 2020 0 0 0 2   02  2200000000202         00 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 111     222  02  2 2021   22 0002 21  00   00000 0  0    0 20   0     001 2 222      22 0 0 02   2     00      000000002      0  2  0  22000000010   2  2       00000000222    2   22000000 0  1 0         0 0   00000     0      000000000 0000000 000              022     0000        220 0 00  22  0000        0   0    022222 22             0 00 2 0 0    0 20 2000001000000000000000000 0 2  000              2222    0000000000001012 00022 20      000 0020    22   20 2  0   222 2    2       10  20200 000  022222222222222222222222222222222222222222222222222222222222222222222222222222222222222 0022 00022222200 0000022 200000222222222000  0022 0 0000000 000 2000020   0"
"LIQSVR02","AMSTERDAM           ","LIQSVR02            "," ","         ","","SDA  ","CLR  ","BG_COL         ","CBA  ","CG852","U    ","","2020-10-08 09:19:08","2020-10-08 09:22:25","LIQSVR03","ADMIN1  ","Custom  ","N","","EUOPS","","N","NL","@ME4QUQO","ENG  ","","","","","","","","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 2222222222220  222222222222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2202000222202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  2222        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00011 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 222000222222222200  0022 0 2220000 000 2222022   2    00 0   2  0  2"
"LIQAPP05","AMSTERDAM           ","LIQAPP05            "," ","         ","","SDA  ","CLR  ","BG_COL         ","CBA  ","CG852","U    ","","2020-10-08 14:13:17","2020-10-08 14:13:17","ADMIN1  ","ADMIN1  ","Custom  ","N","","EUOPS","","N","NL","@ME4QUQO","ENG  ","","","","","","","","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 2222222222220  222222222222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2202000222202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  2222        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00011 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 222000222222222200  0022 0 2220000 000 2222022   2    00 0   2  0  2"
"MII10026","LIQ LNAME216        ","LIQ UPD116          "," ","         ","","DA   ","ASC  ","               ","CBA  ","CB001","U    ","","2020-07-14 11:49:31","2020-07-14 11:58:26","LOANIQ01","RETAIL  ","DA      ","N","","AUSNA","","N","GB","AMDPAOVZ","EN   ","                    ","UTST1014@ccb.com","61123456784","8111191154"," "," "," ","01111 111 1 12110202222 222 222222 11  20000111 02 220111111 212 1022            2   220 0001111222012 111 2     2122200000000000000021111 2 1021112111121122111111  1001021222211112202 111212201111001212002111 220122222222222222 1222121211100211000011 12000221 00011020012011020200020   02 2   22202222222202000000020222200200022111022 0100000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000111001222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000101001100002 00000000  100222202200022000 012 0100000000000  000000000000 000002 0000001122  000    0021          02 0 002     00 2220 20010  120  0    20000000 222 00 200 1020 0 0 0 1   02  0200000000200         00 0   22 1   0 22   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 2 111     220  00  0 0001   02 0001 01  22   00220 0  0    0 00   0     201 0 220      00 0 0 00   1     20      000000002      0  0  0  21000000010   0  0       00000000222    0   21000000 0  1 0         0 0   00000     0      000000000 0000000 222              011     0000        000 1 22  00  0000        0   0    022200 20             0 00 2 0 0    0 00 2000000000000000000000000 0 2  111              2020    1111111111001100 00211 00      000 0000    22   20 2  1   020 0    2       10  00000 000  000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000 0000 00000000000 0000000 000000000000000000  0002 0 0000000 000 2000020   000  00 0   0  0  0"
"LQXY0006","LIQLNAME            ","LIQFNAME            "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","I    ","","2020-07-14 14:24:14","2020-07-31 18:21:01","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","LQXY0001@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"LUPD0003","LIQ LNAME           ","LIQ FNAME           "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","I    ","","2020-07-14 14:54:46","2020-07-14 14:54:46","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","LUPD0002@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"CRE07221","SEVTWOLNAME         ","SEVTWOFNAME         "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-24 16:31:20","2020-07-24 16:31:21","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","CRE07218@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"CRE07320","SEVTRILNAME         ","SEVTRIFNAME         "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-24 16:58:42","2020-07-24 16:58:43","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","CRE07318@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"CREA1212","LNAME               ","FNAME               "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-24 19:13:20","2020-07-24 19:13:21","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","CREA1210@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
"LIQAPP04","AMSTERDAM           ","LIQAPP04            "," ","         ","","SDA  ","CLR  ","BG_COL         ","CBA  ","CG852","U    ","","2020-10-08 14:44:31","2020-10-08 14:44:31","ADMIN1  ","ADMIN1  ","Custom  ","N","","EUOPS","","N","NL","@ME4QUQO","ENG  ","","","","","","","","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 2222222222220  222222222222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2202000222202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  2222        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00011 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 222000222222222200  0022 0 2220000 000 2222022   2    00 0   2  0  2"
"SUPCC02 ","SUPERVISOR          ","CIELO               "," ","         ","","DAM  ","MD   ","","CBA  ","CB001","U    ","","2020-10-12 12:27:36","2020-10-12 12:27:36","ADMIN1  ","ADMIN1  ","Custom  ","N","","AUSAG","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 0222222222220  222200000222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2200000000202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  0000        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00022 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 2220002222222222      22   2220000  00 2200022    00  00 0   2  0"
"DELINP01","INPUTTER            ","DHEL                "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CG852","U    ","","2020-10-12 13:52:08","2020-10-12 18:53:05","LOANIQ01","ADMIN1  ","Custom  ","N","","EUOPS","","N","NL","@ME4QUQO","ENG  ","                    ","DELINP01@ccb.com","61123456782","61123243243"," "," "," ","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000220222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 2222222222220  222222222222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2202000222202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  2222        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00000 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 222000222222222200  0022 0 2220000 000 2222022   2    00 0   2  0  2"
"LUPD0004","LIQ LNAME           ","LIQ FNAME           "," ","         ","","BAT  ","CLR  ","               ","CBA  ","CB001","U    ","","2020-07-14 15:12:13","2020-07-14 15:20:48","LOANIQ01","RETAIL  ","BAT     ","N","","AUSAG","","N","GB","AMDPAOVZ","EN   ","                    ","LUPD0002@ccb.com","61123456782","61123243243"," "," "," ","00000 000 0 00000000000 000 000000 00  00000000 00 000000000 000 0000            0   000 0000000000000 000 0     0000000000000000000000000 0 0000000000000000000000  0000000000000000000 000000000000000000000000 000000000000000000 0000000000000000000000 00000000 00000000000000000000000 00000000000000000000000000000000000000000000000000 2000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000  0 000000000000  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 0000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000 000 0000000000000  000000000000 000000 0000000000  000    0000          00 0 000     00 0000 00000  000  0    00000000 000 00 000 0000 0 0 0 0   00  0000000000000         00 0   00 0   0 00   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 000 0 000     000  00  0 0000   00 0000 00  00   00000 0  0    0 00   0     000 0 000      00 0 0 00   0     00      000000000      0  0  0  00000000000   0  0       00000000000    0   00000000 0  0 0         0 0   00000     0      000000000 0000000 000              000     0000        000 0 00  00  0000        0   0    000000 00             0 00 0 0 0    0 00 0000000000000000000000000 0 0  000              0000    0000000000000000 00000 00      0"
